date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:20	1048100/1048100	---M--	200	added ('OK')	image/png	etag:%22ffe24-5b1a3f2961a5b%22	https://www.equancy.fr/uploads/media/5f2ad3fbee27d_capture-decran-2020-08-05-a-17-43-02.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f2ad3fbee27d_capture-decran-2020-08-05-a-17-43-02.png	(from https://www.equancy.fr/fr/pourquoi-nous-rejoindre)
15:07:20	989039/989039	---M--	200	added ('OK')	image/png	etag:%22f176f-5b1a3f27a454c%22	https://www.equancy.fr/uploads/media/5f2ad3d64709b_capture-decran-2020-08-05-a-17-42-31.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f2ad3d64709b_capture-decran-2020-08-05-a-17-42-31.png	(from https://www.equancy.fr/fr/pourquoi-nous-rejoindre)
15:07:21	34808/34808	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:23%20GMT	https://www.equancy.fr/fr/offre/cloud-devops-engineer-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/cloud-devops-engineer-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:21	36222/36222	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:22%20GMT	https://www.equancy.fr/fr/offre/consultant-e-en-strategie-confirme-e-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/consultant-e-en-strategie-confirme-e-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:22	34975/34975	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:23%20GMT	https://www.equancy.fr/fr/offre/architecte-data-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/architecte-data-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:22	34893/34893	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:23%20GMT	https://www.equancy.fr/fr/offre/marketing-project-manager-consultant-strategie-senior-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/marketing-project-manager-consultant-strategie-senior-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:22	35218/35218	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:24%20GMT	https://www.equancy.fr/fr/offre/data-scientist-senior-h-f-1	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/data-scientist-senior-h-f-1.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:22	33566/33566	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:24%20GMT	https://www.equancy.fr/fr/offre/chef-de-projet-data-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/chef-de-projet-data-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:23	35725/35725	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:24%20GMT	https://www.equancy.fr/fr/offre/consultant-media-digital-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/consultant-media-digital-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:23	33269/33269	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:24%20GMT	https://www.equancy.fr/fr/offre/consultant-analytics-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/consultant-analytics-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
